,Manager_id,Player,FGM,FGA,FG%,FTM,FTA,FT%,3PM,REB,AST,STL,BLK,TO,PTS
2,2,Robert Covington,4.7,11.3,0.419,1.6,1.9,0.836,2.9,6.1,1.9,1.8,0.7,1.9,14.0
3,2,Trey Lyles,3.5,6.8,0.521,1.3,1.7,0.741,1.3,4.7,0.9,0.4,0.3,0.8,9.7
4,2,John Henson,3.7,6.1,0.604,1.2,2.3,0.525,0.0,6.5,1.3,0.5,1.5,1.2,8.5
5,2,Austin Rivers,5.7,13.7,0.418,1.8,2.8,0.648,2.5,2.1,3.6,1.3,0.3,1.9,15.8
6,2,Kawhi Leonard,5.4,12.0,0.452,2.9,3.3,0.87,1.4,4.4,2.0,1.4,0.7,1.7,15.1
7,2,CJ McCollum,8.0,18.3,0.438,2.8,3.3,0.872,2.4,4.2,3.1,0.9,0.4,2.1,21.3
8,2,JJ Redick,5.8,13.2,0.44,2.8,3.0,0.94,2.7,2.6,3.4,0.5,0.1,1.5,17.2
9,2,Evan Turner,3.4,7.7,0.442,1.2,1.5,0.836,0.4,3.8,2.4,0.7,0.4,1.6,8.4
10,2,Kevin Love,6.4,13.6,0.466,4.6,5.2,0.881,2.4,10.0,1.8,0.6,0.5,1.8,19.6
11,2,Robin Lopez,5.8,11.2,0.519,1.3,1.7,0.766,0.1,5.1,2.3,0.3,0.9,1.7,12.9
12,2,Bojan Bogdanovic,5.1,10.8,0.471,1.7,2.0,0.844,1.9,3.2,1.4,0.7,0.1,1.3,13.8
0,3,Ish Smith,4.2,9.1,0.462,0.8,1.1,0.711,0.1,2.6,3.9,0.5,0.2,1.2,9.3
1,3,DeMar DeRozan,8.7,17.9,0.485,6.7,8.0,0.83,1.2,4.3,5.0,1.2,0.3,2.3,25.2
2,3,Khris Middleton,7.5,16.2,0.466,3.5,3.9,0.893,2.1,5.1,4.3,1.3,0.2,2.3,20.6
3,3,Maximilian Kleber,2.4,4.7,0.519,0.6,0.8,0.704,0.5,3.5,0.6,0.3,0.7,0.4,6.0
4,3,Karl-Anthony Towns,7.5,14.2,0.531,3.6,4.4,0.824,1.5,11.5,2.1,0.9,1.6,2.2,20.1
5,3,Wayne Ellington,3.3,7.8,0.421,0.8,0.9,0.848,2.8,2.6,0.9,0.6,0.1,0.5,10.2
6,3,Kyle Korver,3.4,7.2,0.465,0.9,1.1,0.875,2.4,2.0,1.1,0.4,0.3,0.7,10.1
7,3,Hassan Whiteside,5.8,10.4,0.561,2.3,3.3,0.683,0.1,11.8,0.6,1.0,1.4,1.4,14.1
8,3,Dwyane Wade,4.3,9.7,0.441,2.0,2.9,0.71,0.5,3.8,3.7,1.0,0.7,1.9,11.1
9,3,Denzel Valentine,3.7,8.9,0.411,0.3,0.4,0.765,1.8,5.2,2.9,0.8,0.1,1.0,9.4
10,3,Julius Randle,5.1,9.2,0.558,2.7,4.2,0.645,0.2,6.7,1.8,0.5,0.8,2.2,13.1
11,3,Reggie Jackson,5.5,12.3,0.446,2.4,2.8,0.84,1.3,2.8,5.5,0.6,0.1,2.5,14.6
12,3,Jabari Parker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,Kemba Walker,7.1,17.0,0.419,4.7,5.6,0.841,2.4,3.5,5.8,1.1,0.3,2.1,21.4
1,4,Bradley Beal,8.6,18.9,0.454,3.9,5.0,0.78,2.4,4.4,3.6,1.2,0.4,2.0,23.4
2,4,Taurean Prince,4.9,11.1,0.439,1.4,1.8,0.779,1.9,5.6,2.5,1.0,0.6,2.1,13.1
3,4,Blake Griffin,7.9,18.3,0.431,5.7,7.2,0.789,2.0,7.7,5.3,0.8,0.3,3.0,23.6
4,4,Joel Embiid,8.1,16.8,0.486,6.6,8.3,0.801,0.9,10.9,3.5,0.6,2.0,4.2,23.8
5,4,Lonzo Ball,3.9,11.1,0.349,0.8,1.6,0.48,1.5,6.9,7.1,1.4,1.0,2.9,10.0
6,4,LaMarcus Aldridge,8.6,17.6,0.489,4.5,5.3,0.837,0.5,8.4,2.0,0.5,1.1,1.5,22.2
